,A,B,C,D,E,F,G
13984,18,33,41,16,26,47,31
13983,09,39,48,15,13,27,45
13982,43,49,46,12,14,23,22
13981,45,38,15,14,37,07,42
13980,22,25,23,10,30,45,17
13979,43,25,03,16,28,44,36
13978,09,43,15,46,26,07,06
13977,29,43,26,30,36,45,05
13976,45,02,47,21,15,29,06
13975,02,36,03,24,31,21,10
13974,16,02,29,46,11,01,03
13973,13,25,49,48,40,11,27
13972,03,23,01,47,48,04,38
13971,34,10,09,42,01,06,11
13970,26,03,11,12,46,43,14
13969,36,49,41,01,48,06,11
13968,01,09,35,12,46,15,43
13967,17,03,37,21,20,31,11
13966,19,40,09,41,37,21,15
13965,06,03,13,12,27,36,04
13964,38,02,47,19,37,23,45
13963,29,02,03,22,28,24,48
13962,02,39,36,15,11,06,24
13961,49,03,10,28,07,37,15
13960,20,23,12,22,42,43,18
13959,23,39,34,05,41,24,47
13958,42,48,15,39,30,21,43
13957,27,23,17,49,19,30,40
13956,12,35,33,21,42,23,28
13955,34,32,08,29,40,17,25
13954,15,42,13,12,39,11,48
13953,39,13,38,35,12,01,07
13952,03,45,13,22,15,28,04
13951,32,12,16,49,11,24,14
13950,25,48,26,19,21,43,40
13949,18,44,45,49,43,20,47
13948,16,47,23,45,08,17,38
13947,32,25,31,28,10,42,22
13946,12,24,02,08,09,35,45
13945,13,26,18,04,01,39,43
13944,28,47,36,27,38,35,37
13943,48,10,46,11,36,07,03
13942,28,45,19,24,08,35,06
13941,25,07,30,22,24,23,46
13940,37,41,15,31,45,13,23
13939,07,48,32,28,24,05,08
13938,24,06,13,11,26,17,41
13937,41,40,15,09,03,13,47
13936,17,33,26,13,44,02,30
13935,01,26,19,14,39,11,07
13934,13,38,16,27,08,48,36
13933,38,23,36,25,21,34,31
13932,10,06,38,41,33,47,18
13931,15,28,40,04,05,03,42
13930,36,22,29,18,33,04,09
13929,23,15,38,06,31,18,34
13928,44,20,21,07,37,14,49
13927,37,14,42,15,17,09,49
13926,37,09,18,02,14,20,29
13925,40,07,02,36,20,05,47
13924,10,04,19,05,18,37,15
13923,48,03,44,21,46,34,01
13922,15,02,08,47,35,45,16
13921,37,10,39,20,47,46,13
13920,20,09,36,45,31,04,41
13919,05,20,26,06,29,12,49
13918,37,33,06,13,44,43,48
13917,19,18,14,05,11,04,45
13916,49,14,08,28,11,26,05
13915,35,28,33,18,11,42,17
13914,16,38,39,29,12,48,18
13913,22,21,36,23,10,08,32
13912,35,29,42,02,49,16,30
13911,45,06,30,09,13,10,41
13910,47,14,41,15,31,06,35
13909,21,22,40,16,26,24,07
13908,32,19,06,44,04,30,07
13907,15,32,33,44,35,20,19
13906,11,40,09,45,04,13,41
13905,07,49,15,06,03,09,34
13904,35,21,43,08,47,45,03
13903,31,16,13,30,15,18,46
13902,46,03,42,29,35,33,20
13901,29,01,15,21,06,23,40
13900,46,14,38,16,32,44,13
13899,45,38,25,11,15,32,09
13898,45,37,40,10,22,36,17
13897,35,38,11,31,45,44,02
13896,28,29,33,36,11,23,09
13895,20,23,15,14,46,11,27
13894,20,12,10,42,30,22,24
13893,15,48,02,42,22,08,18
13892,02,09,23,10,38,37,08
13891,06,10,07,32,44,47,36
13890,13,06,42,27,48,25,35
13889,24,46,14,35,37,02,07
13888,44,30,18,13,37,20,46
13887,22,01,20,06,26,33,36
13886,03,21,29,42,12,26,31
13885,33,34,21,06,32,44,23
13884,13,48,31,42,09,23,32
13883,17,14,44,11,16,32,33
13882,06,08,11,24,44,10,43
13881,39,21,41,03,49,29,38
13880,26,45,37,38,49,17,22
13879,39,24,30,31,18,26,37
13878,21,19,29,10,20,16,27
13877,02,16,49,29,47,35,03
13876,10,46,37,02,19,18,13
13875,07,49,43,22,37,17,35
13874,26,34,18,05,42,13,28
13873,17,23,26,31,37,02,32
13872,16,12,02,36,31,15,44
13871,31,20,21,33,47,41,37
13870,22,38,27,10,31,47,29
13869,46,03,08,32,02,49,17
13868,12,36,38,03,08,15,31
13867,46,38,28,36,30,10,33
13866,41,21,20,08,15,13,31
13865,26,34,17,36,45,10,32
13864,28,09,25,33,38,39,04
13863,12,08,29,24,01,48,34
13862,47,42,02,45,24,01,05
13861,37,31,02,05,30,26,47
13860,18,24,35,01,29,10,40
13859,07,38,14,15,19,37,18
13858,05,14,37,38,20,15,26
13857,11,43,23,06,49,05,12
13856,46,01,36,11,05,20,26
13855,22,29,37,40,12,45,21
13854,27,11,36,45,42,20,02
13853,45,28,21,20,06,31,02
13852,32,10,05,06,15,08,26
13851,19,49,46,13,44,15,27
13850,13,30,38,25,03,49,11
13849,45,36,17,46,39,44,29
13848,34,31,27,06,33,20,37
13847,14,13,29,20,34,31,09
13846,45,11,18,04,17,28,25
13845,42,35,24,16,38,36,14
13844,42,06,07,09,31,29,40
13843,29,22,10,21,42,36,11
13842,03,18,40,32,10,14,29
13841,18,28,47,32,16,30,01
13840,25,23,37,16,42,36,07
13839,08,45,32,03,23,36,44
13838,44,17,19,15,16,46,48
13837,02,27,24,48,08,06,11
13836,31,42,26,33,02,25,17
13835,12,29,26,18,44,38,14
13834,02,13,49,14,15,20,05
13833,10,26,22,17,47,03,01
13832,49,09,06,38,34,33,15
13831,36,10,12,16,47,19,33
13830,34,06,49,13,48,31,21
13829,42,02,28,09,06,03,16
13828,24,17,45,16,19,28,38
13827,35,34,29,03,05,41,06
13826,37,44,07,20,29,43,40
13825,22,41,46,10,48,14,02
13824,06,27,16,38,24,18,09
13823,44,47,39,25,16,38,23
13822,49,44,12,14,24,36,17
13821,30,38,32,45,36,06,09
13820,40,16,30,10,29,28,36
13819,39,25,47,14,15,12,46
13818,43,33,47,49,32,38,23
13817,47,21,11,32,14,17,45
13816,32,15,18,25,35,23,39
13815,13,17,09,22,44,41,07
13814,20,47,42,11,06,07,29
13813,01,18,27,37,02,04,26
13812,49,27,35,26,08,34,32
13811,11,22,17,27,25,06,32
13810,06,17,38,47,23,42,22
13809,23,11,20,38,10,05,02
13808,39,40,13,48,25,22,24
13807,01,03,39,05,47,37,32
13806,09,08,43,24,26,10,02
13805,16,03,27,39,34,42,09
13804,12,30,05,28,32,41,37
13803,26,33,03,49,42,35,20
13802,16,14,48,23,44,17,09
13801,19,30,18,22,02,38,28
13800,34,44,09,07,14,31,47
13799,36,03,12,38,28,32,18
13798,33,36,03,37,45,05,25
13797,29,44,10,16,35,40,49
13796,42,08,30,15,21,38,22
13795,15,45,33,26,30,28,49
13794,49,23,02,04,40,08,11
13793,36,47,40,34,20,15,46
13792,24,48,37,42,03,44,04
13791,17,43,01,45,21,05,03
13790,14,15,43,10,39,34,38
13789,46,29,30,19,43,13,38
13788,23,03,28,45,22,11,13
13787,41,37,35,02,05,21,31
13786,26,29,39,16,07,04,46
13785,07,36,28,16,47,22,49
13784,31,04,25,19,15,02,41
13783,01,07,29,18,30,10,24
13782,44,02,43,11,45,17,01
13781,28,45,39,16,13,20,33
13780,16,15,02,42,37,49,39
13779,14,27,28,42,17,31,40
13778,28,14,35,21,37,46,49
13777,11,26,02,27,13,38,01
13776,33,12,22,07,16,01,39
13775,19,25,18,08,31,03,45
13774,30,40,26,23,07,20,14
13773,31,14,01,49,46,42,10
13772,29,13,48,26,07,01,45
13771,40,07,18,17,34,46,33
13770,31,39,16,32,13,03,07
13769,47,07,03,38,34,23,22
13768,48,30,29,09,01,39,46
13767,18,30,13,38,45,39,36
13766,36,17,07,42,19,44,11
13765,06,34,22,17,18,08,21
13764,08,06,25,30,31,35,12
13763,41,27,15,33,32,20,48
13762,34,31,13,46,40,07,42
13761,40,10,19,35,09,06,05
13760,23,37,35,46,03,22,39
13759,06,16,42,43,22,08,34
13758,06,40,42,22,11,05,38
13757,16,33,41,43,14,47,31
13756,19,31,35,05,08,03,47
13755,46,28,01,09,33,29,48
13754,45,39,10,23,22,35,49
13753,08,24,06,46,45,12,44
13752,03,23,10,22,19,21,48
13751,15,20,43,04,19,12,44
13750,19,44,38,36,03,45,47
13749,46,07,33,25,11,32,12
13748,05,02,25,11,03,48,32
13747,07,01,43,14,08,45,11
13746,38,49,32,35,47,17,34
13745,49,27,03,40,21,48,10
13744,47,48,13,14,03,10,16
13743,39,13,41,38,22,09,14
13742,35,06,47,31,29,13,39
13741,21,33,03,42,29,23,31
13740,43,21,30,31,03,34,10
13739,22,44,38,40,03,26,47
13738,15,30,44,13,26,33,22
13737,01,32,22,05,02,36,09
13736,45,10,02,28,41,19,38
13735,39,37,48,30,19,38,24
13734,28,18,27,14,12,17,30
13733,31,49,41,30,33,13,10
13732,21,12,16,26,03,10,19
13731,27,23,05,25,39,21,45
13730,34,37,17,39,22,48,29
13729,22,16,49,07,19,42,28
13728,07,10,31,06,12,26,08
13727,38,32,15,31,34,37,36
13726,39,32,04,13,02,30,16
13725,11,37,40,38,43,35,36
13724,49,13,11,18,15,37,04
13723,48,40,02,03,23,10,34
13722,39,19,26,01,09,49,28
13721,11,34,28,27,10,03,45
13720,45,18,21,42,47,28,03
13719,32,36,02,48,43,08,17
13718,11,28,36,35,27,23,13
13717,11,49,30,01,41,19,13
13716,06,26,28,27,42,08,14
13715,43,41,18,07,03,02,08
13714,08,32,31,24,20,35,33
13713,29,18,36,38,04,19,10
13712,47,07,25,35,38,16,13
13711,08,31,35,17,11,19,44
13710,02,25,21,45,42,03,09
13709,37,06,29,36,27,35,09
13708,06,23,46,28,37,21,07
13707,28,33,12,02,03,49,15
13706,30,43,27,40,20,16,44
13705,09,04,30,03,39,06,16
13704,19,43,16,05,20,45,22
13703,28,22,46,41,47,04,12
13702,14,09,22,46,43,38,17
13701,31,30,23,12,48,39,26
13700,45,05,48,07,36,14,17
13699,19,27,44,38,45,14,43
13698,27,14,45,41,39,49,05
13697,03,10,24,39,30,29,13
13696,28,27,14,16,45,06,10
13695,27,21,26,31,25,34,37
13694,09,11,36,17,10,04,41
13693,29,03,35,40,11,09,34
13692,46,36,24,45,22,16,27
13691,09,25,33,16,05,43,30
13690,22,42,01,20,27,14,12
13689,06,18,41,17,23,46,26
13688,45,21,18,23,33,07,17
13687,17,09,15,41,46,42,32
13686,29,08,26,24,22,37,27
13685,32,07,14,36,01,10,09
13684,38,03,19,04,12,06,11
13683,01,40,13,33,15,27,49
13682,36,21,37,11,04,19,27
13681,26,06,18,08,11,20,34
13680,32,22,42,46,08,11,38
13679,14,29,36,19,20,31,18
13678,04,49,33,24,12,36,43
13677,02,20,11,19,43,23,22
13676,17,27,14,21,23,07,28
13675,09,19,34,05,39,02,37
13674,36,30,39,19,24,23,16
13673,20,13,09,39,04,47,21
13672,03,41,45,42,44,23,01
13671,26,45,42,33,10,11,49
13670,24,42,29,13,38,46,44
13669,06,28,09,40,23,49,31
13668,37,28,35,33,48,49,13
13667,17,40,22,23,05,33,21
13666,13,45,36,49,16,42,14
13665,19,33,01,02,22,37,04
13664,40,48,42,45,19,07,25
13663,30,09,26,18,04,17,25
13662,22,45,24,14,34,49,11
13661,41,28,39,44,11,20,25
13660,16,44,41,14,47,35,48
13659,27,49,17,30,33,08,46
13658,11,31,44,02,30,07,23
13657,17,38,14,19,08,48,42
13656,01,15,37,02,32,44,28
13655,37,10,08,28,36,07,45
13654,48,45,21,32,43,26,14
13653,38,36,20,09,10,44,11
13652,35,27,43,38,01,17,41
13651,12,17,18,23,47,22,06
13650,08,14,36,31,46,27,29
13649,43,13,11,33,45,02,15
13648,14,23,27,33,12,06,40
13647,32,44,15,23,08,34,18
13646,33,29,27,31,25,40,42
13645,48,03,39,12,35,24,06
13644,28,37,47,30,39,16,19
13643,04,14,10,16,15,38,33
13642,44,35,06,36,27,47,10
13641,11,15,19,46,32,22,40
13640,26,01,14,11,08,02,42
13639,11,36,35,34,16,03,01
13638,11,42,16,44,02,19,35
13637,38,41,37,40,14,15,13
13636,17,42,18,45,49,20,37
13635,05,03,39,06,11,13,24
13634,23,21,18,07,36,41,29
13633,33,44,19,36,17,16,05
13632,11,23,24,01,06,07,19
13631,24,33,44,02,48,13,23
13630,01,36,41,28,45,13,07
13629,14,34,02,28,15,07,41
13628,11,48,19,26,07,24,36
13627,38,34,32,09,49,13,31
13626,25,30,18,02,19,24,12
13625,21,06,18,45,25,22,47
13624,08,27,05,38,33,47,14
13623,08,49,25,05,26,36,24
13622,47,30,16,21,34,42,17
13621,44,18,43,27,17,08,49
13620,31,10,22,15,12,16,20
13619,26,35,18,33,40,03,11
13618,06,14,03,21,37,25,16
13617,15,18,37,08,48,12,16
13616,35,45,14,38,42,04,37
13615,43,02,37,15,26,17,14
13614,36,25,38,31,43,19,05
13613,09,16,25,04,20,42,15
13612,28,39,46,10,31,23,36
13611,14,19,38,26,17,48,04
13610,22,41,02,09,40,19,27
13609,32,42,02,25,47,49,04
13608,16,48,13,01,14,04,36
13607,12,49,47,20,22,43,34
13606,39,44,29,15,14,25,05
13605,33,47,39,30,31,28,19
13604,31,15,14,32,42,48,49
13603,25,16,11,13,32,05,40
13602,17,07,25,26,23,10,14
13601,32,22,37,35,04,09,12
13600,18,31,15,45,43,21,40
13599,29,39,24,06,47,15,08
13598,39,46,28,23,05,43,30
13597,26,49,19,28,10,42,20
13596,30,36,39,41,45,46,17
13595,16,15,40,26,10,11,02
13594,46,18,24,45,17,37,40
13593,09,01,39,36,21,06,33
13592,39,08,19,24,11,35,31
13591,20,46,23,18,15,38,43
13590,30,31,13,24,35,21,23
13589,36,09,07,06,12,31,47
13588,15,26,24,46,01,22,04
13587,47,05,34,18,25,39,07
13586,11,30,13,46,14,43,39
13585,29,14,28,16,34,13,24
13584,19,39,25,43,05,47,27
13583,39,02,32,21,15,25,40
13582,34,44,32,11,09,23,25
13581,04,30,10,40,39,36,44
13580,29,20,39,38,01,19,31
13579,30,25,42,37,41,04,01
13578,44,11,10,09,45,37,32
13577,13,08,37,35,03,26,49
13576,19,31,13,02,08,10,15
13575,37,02,18,24,22,45,42
13574,11,04,07,43,45,38,49
13573,04,24,35,46,06,10,47
13572,48,04,05,02,11,08,24
13571,31,14,32,17,29,07,42
13570,19,45,04,25,16,09,06
13569,31,01,02,49,36,27,25
13568,28,08,30,10,24,44,41
13567,29,36,32,41,14,08,20
13566,37,02,23,14,27,48,47
13565,37,44,06,39,05,33,11
13564,21,46,13,12,04,23,25
13563,07,26,13,47,05,44,40
13562,20,41,36,06,38,29,04
13561,10,31,06,18,35,34,19
13560,45,37,16,17,13,41,35
13559,43,39,22,02,10,07,37
13558,17,10,40,02,11,23,31
13557,32,15,23,19,28,03,21
13556,46,36,35,47,24,42,18
13555,07,35,14,15,34,01,25
13554,33,15,35,45,08,40,13
13553,03,08,48,36,09,10,34
13552,33,40,49,12,11,01,04
13551,34,37,33,38,29,09,46
13550,30,21,36,49,01,09,41
13549,31,23,45,22,17,24,40
13548,26,05,39,49,42,06,36
13547,27,32,46,34,29,09,14
13546,40,47,16,28,13,02,12
13545,21,04,25,17,27,20,45
13544,19,17,02,26,39,15,35
13543,21,46,03,36,08,45,47
13542,13,36,03,48,08,33,23
13541,13,09,10,42,37,25,18
13540,11,16,09,45,14,49,20
13539,12,43,49,21,28,01,38
13538,12,07,13,25,49,21,40
13537,38,30,49,21,13,40,10
13536,18,38,44,23,04,32,24
13535,19,21,01,22,12,39,34
13534,13,36,32,16,07,23,08
13533,39,13,01,17,29,27,05
13532,49,27,13,15,22,16,11
13531,10,01,38,42,25,22,41
13530,43,45,21,44,17,13,39
13529,10,12,48,01,37,38,26
13528,46,39,49,19,22,28,31
13527,21,44,49,11,35,33,43
13526,12,45,32,16,44,03,20
13525,47,27,46,03,25,24,28
13524,23,07,26,18,25,13,11
13523,41,10,48,21,24,15,45
13522,33,38,24,42,10,31,26
13521,08,16,31,37,42,32,48
13520,02,07,05,31,11,47,37
13519,31,11,14,22,38,32,47
13518,45,28,27,10,18,49,35
13517,17,23,24,22,28,16,49
13516,14,40,06,26,09,18,39
13515,16,48,21,01,30,29,15
13514,30,20,29,24,16,41,23
13513,35,48,04,40,20,10,31
13512,38,01,29,04,19,35,44
13511,41,04,28,31,32,30,07
13510,01,06,13,43,28,48,26
13509,26,45,40,17,21,29,03
13508,35,06,16,31,14,03,27
13507,02,43,44,33,18,45,24
13506,20,19,05,33,09,49,16
13505,23,39,20,22,10,29,36
13504,26,47,36,07,17,01,42
13503,41,14,10,31,09,25,01
13502,03,42,19,02,44,13,26
13501,18,35,15,40,13,19,49
13500,09,03,43,02,04,10,30
13499,16,07,13,19,17,27,22
13498,21,10,25,26,05,13,42
13497,41,47,01,31,26,16,19
13496,05,19,47,44,45,15,27
13495,43,37,40,49,35,01,22
13494,12,06,18,10,15,27,28
13493,20,27,11,37,24,03,05
13492,26,12,37,31,42,45,07
13491,38,47,13,39,02,01,08
13490,28,48,02,14,29,39,18
13489,04,30,37,32,13,28,40
13488,26,21,04,16,07,08,40
13487,30,38,01,20,46,41,42
13486,22,15,36,47,04,10,20
13485,12,46,19,30,49,01,24
13484,19,44,16,35,03,37,21
13483,07,17,30,24,05,29,12
13482,20,41,07,11,03,45,38
13481,30,09,10,15,08,29,38
13480,02,26,35,12,49,03,29
13479,43,35,23,06,03,47,20
13478,25,20,18,46,37,08,43
13477,33,44,21,42,24,14,01
13476,34,07,32,25,22,13,23
13475,26,13,24,35,12,21,09
13474,34,16,08,26,45,13,38
13473,08,02,47,41,06,29,48
13472,04,11,13,31,09,42,40
13471,03,27,40,38,31,39,46
13470,20,10,15,24,36,18,19
13469,12,26,36,40,27,31,43
13468,20,37,22,45,41,25,16
13467,27,16,45,43,31,12,19
13466,11,32,05,43,15,20,19
13465,28,44,25,20,37,10,16
13464,19,12,49,35,18,38,20
13463,33,09,44,47,13,37,25
13462,05,11,01,23,15,02,22
13461,21,43,05,41,44,14,40
13460,36,03,24,15,45,33,18
13459,34,39,49,11,37,42,46
13458,47,08,09,17,40,34,05
13457,44,24,43,45,20,18,19
13456,10,38,45,16,05,49,35
13455,05,18,16,10,22,28,43
13454,24,39,32,05,22,43,23
13453,24,43,40,47,34,14,25
13452,49,44,34,40,07,04,11
13451,39,12,11,29,25,40,24
13450,27,33,26,41,24,01,48
13449,26,03,08,16,27,41,40
13448,01,29,39,14,36,40,15
13447,27,34,05,14,08,17,15
13446,35,24,29,06,31,10,34
13445,08,15,34,46,31,40,07
13444,33,13,14,45,46,22,37
13443,47,48,24,28,39,49,20
13442,45,23,31,06,08,27,18
13441,48,22,46,18,47,37,04
13440,07,31,32,49,29,02,28
13439,11,20,33,40,21,46,09
13438,35,37,33,47,19,36,48
13437,17,25,04,40,48,32,24
13436,46,28,44,47,22,04,15
13435,35,40,05,01,08,02,13
13434,34,22,24,03,12,17,13
13433,49,11,14,23,08,24,27
13432,39,30,18,37,36,29,27
13431,34,47,37,46,19,03,39
13430,14,34,27,38,22,02,09
13429,48,49,09,34,08,42,11
13428,31,45,01,24,02,28,13
13427,40,47,09,42,36,01,34
13426,18,07,35,41,21,31,03
13425,45,42,13,41,40,17,27
13424,24,14,40,02,19,48,32
13423,47,29,12,07,11,26,44
13422,46,43,15,40,37,24,45
13421,25,06,37,43,13,30,45
13420,27,04,01,37,38,02,16
13419,19,49,28,15,29,46,24
13418,28,21,01,16,48,49,33
13417,02,33,41,17,21,01,27
13416,09,11,15,18,26,38,19
13415,36,19,05,13,45,33,08
13414,38,45,05,43,28,41,16
13413,06,46,17,18,48,40,32
13412,22,44,08,23,16,47,42
13411,39,32,14,30,26,20,12
13410,02,05,39,46,04,23,42
13409,43,10,28,36,33,45,42
13408,44,30,39,24,13,09,12
13407,02,40,43,49,47,13,44
13406,40,22,27,12,02,33,10
13405,39,48,26,03,05,15,34
13404,39,24,23,36,11,03,49
13403,33,18,45,34,42,21,30
13402,30,13,42,08,49,20,09
13401,43,29,23,41,15,28,09
13400,05,10,26,38,33,13,14
13399,19,38,34,16,44,13,08
13398,15,33,42,03,41,34,06
13397,28,45,16,49,42,02,34
13396,06,24,44,38,32,22,07
13395,34,12,31,13,43,18,08
13394,31,14,35,32,48,04,40
13393,41,29,31,26,44,11,45
13392,12,31,19,26,48,43,08
13391,02,12,42,17,05,40,48
13390,31,02,39,29,14,47,22
13389,04,11,37,28,02,13,39
13388,05,46,41,02,26,14,36
13387,15,05,07,03,43,49,25
13386,40,17,36,38,47,20,01
13385,39,32,29,20,16,48,26
13384,08,23,14,15,22,39,41
13383,29,11,37,08,09,48,15
13382,48,09,17,25,47,05,10
13381,27,25,03,45,35,20,04
13380,13,19,42,03,26,28,05
13379,47,04,12,20,28,33,17
13378,47,30,09,27,02,07,31
13377,45,15,11,48,20,28,25
13376,36,24,41,31,02,28,34
13375,33,03,44,05,13,45,43
13374,24,34,38,03,41,32,45
13373,42,21,09,40,12,41,17
13372,21,33,44,01,10,46,04
13371,08,06,46,26,12,30,40
13370,20,49,37,21,04,25,28
13369,13,07,32,30,23,15,17
13368,13,38,44,22,12,35,36
13367,25,20,12,15,16,49,22
13366,42,34,44,28,24,43,25
13365,43,32,29,36,21,28,15
13364,12,33,01,05,49,32,42
13363,04,33,32,45,05,24,12
13362,47,28,41,02,26,32,05
13361,08,10,17,24,39,12,09
13360,05,49,47,02,27,17,38
13359,01,15,45,47,14,16,08
13358,41,23,47,04,06,24,28
13357,43,21,38,24,03,44,40
13356,17,29,45,32,41,40,38
13355,16,12,29,45,44,25,31
13354,19,41,07,45,16,38,37
13353,42,21,18,05,47,13,14
13352,47,25,18,17,31,10,05
13351,31,08,17,40,21,20,02
13350,07,30,42,44,33,27,12
13349,39,07,48,01,35,03,24
13348,46,20,43,47,16,28,39
13347,46,22,48,15,12,35,08
13346,04,43,25,17,21,31,22
13345,40,46,35,38,14,11,43
13344,18,02,08,38,01,41,05
13343,05,44,27,31,18,09,46
13342,45,14,39,30,42,06,21
13341,10,39,47,18,05,20,42
13340,31,20,26,29,12,48,44
13339,17,25,27,11,44,23,31
13338,03,21,47,11,14,39,40
13337,11,05,39,22,35,23,17
13336,30,36,29,39,46,31,43
13335,28,33,19,23,32,34,05
13334,05,10,23,46,14,01,21
13333,29,24,10,17,27,36,25
13332,45,32,23,04,13,43,30
13331,34,10,16,24,03,18,19
13330,32,14,33,08,38,25,09
13329,35,31,47,46,29,24,39
13328,27,13,21,44,34,12,29
13327,23,45,17,33,46,13,41
13326,41,02,11,12,23,24,37
13325,42,32,16,15,23,19,08
13324,43,36,45,35,44,21,01
13323,14,20,29,35,09,08,31
13322,35,22,28,44,16,36,04
13321,48,36,35,08,32,46,29
13320,20,06,10,26,18,12,22
13319,30,22,09,36,14,33,37
13318,33,14,20,23,34,11,21
13317,35,11,39,19,40,12,49
13316,34,26,37,42,16,27,23
13315,21,02,12,23,34,18,48
13314,02,21,20,06,17,29,13
13313,24,25,29,40,11,47,43
13312,37,28,09,25,10,14,24
13311,08,43,22,40,45,05,23
13310,18,19,26,44,07,48,41
13309,49,13,12,30,22,05,37
13308,16,35,14,15,34,27,24
13307,25,07,18,43,46,05,03
13306,38,14,32,41,23,09,25
13305,06,40,27,21,18,11,42
13304,12,32,26,28,14,18,47
13303,39,12,37,10,48,47,06
13302,12,19,31,39,06,07,48
13301,34,39,38,08,21,02,31
13300,43,10,31,36,17,13,03
13299,49,23,27,18,08,14,22
13298,24,15,43,49,07,30,08
13297,37,16,35,14,49,12,09
13296,12,19,04,11,26,07,10
13295,41,14,09,08,07,42,11
13294,14,07,09,02,06,42,16
13293,26,17,22,28,21,15,27
13292,08,15,27,39,41,46,01
13291,05,17,41,03,19,25,37
13290,04,09,49,48,08,16,06
13289,39,04,03,28,15,07,43
13288,27,33,10,36,01,48,02
13287,24,02,38,10,47,07,30
13286,45,22,21,25,37,39,46
13285,44,16,21,48,17,36,22
13284,37,34,47,11,48,04,18
13283,47,06,05,32,13,10,34
13282,43,17,38,46,48,44,42
13281,05,19,11,16,13,07,49
13280,36,32,24,49,19,29,07
13279,10,39,44,47,03,29,23
13278,04,13,37,29,16,22,20
13277,22,40,12,20,33,02,17
13276,39,44,29,34,28,41,09
13275,32,11,12,48,18,09,43
13274,05,22,29,33,28,20,38
13273,20,32,17,23,04,38,45
13272,15,09,05,36,30,03,40
13271,32,02,09,34,23,45,18
13270,07,34,36,22,17,09,11
13269,43,34,32,13,04,14,27
13268,44,22,06,18,08,38,29
13267,21,36,37,16,28,29,03
13266,14,19,45,22,44,46,42
13265,26,19,06,25,15,01,09
13264,17,28,23,41,05,15,32
13263,46,12,44,29,25,36,45
13262,19,46,26,29,48,13,14
13261,39,09,17,11,26,37,32
13260,11,43,38,40,35,29,42
13259,27,05,14,33,26,17,24
13258,04,35,11,13,23,29,14
13257,47,15,42,44,23,33,17
13256,17,30,28,47,43,48,36
13255,49,43,48,34,01,24,12
13254,18,28,05,02,31,23,24
13253,49,24,40,48,11,44,33
13252,09,41,16,35,12,22,21
13251,49,30,16,07,31,41,08
13250,13,32,10,04,06,29,09
13249,30,13,29,31,10,44,15
13248,01,02,17,14,44,04,23
13247,35,09,48,47,34,21,46
13246,35,48,13,37,11,49,39
13245,29,06,36,33,43,49,10
13244,10,36,04,29,02,40,14
13243,32,25,28,27,04,08,42
13242,39,29,01,43,06,08,35
13241,09,14,15,02,27,46,18
13240,29,25,04,10,26,03,27
13239,47,02,30,34,13,33,42
13238,19,10,22,33,42,05,11
13237,16,30,18,42,07,36,19
13236,05,25,07,28,03,38,35
13235,26,07,49,36,34,20,23
13234,14,31,24,21,35,37,15
13233,30,14,42,23,46,28,10
13232,18,10,24,21,41,04,45
13231,43,27,16,29,24,02,22
13230,27,04,02,34,24,18,32
13229,46,49,36,22,25,44,34
13228,41,04,47,42,23,15,30
13227,36,29,21,20,06,14,30
13226,04,45,19,03,18,39,26
13225,01,10,40,21,15,49,42
13224,12,09,48,40,17,30,16
13223,08,20,48,37,10,16,24
13222,01,42,14,43,07,13,22
13221,45,40,35,06,20,21,15
13220,46,03,18,22,40,48,15
13219,06,08,37,22,27,34,25
13218,26,39,21,28,02,42,17
13217,42,21,36,16,15,47,09
13216,05,18,20,38,49,13,08
13215,10,03,20,29,37,35,40
13214,36,21,07,13,48,24,01
13213,05,02,22,13,47,48,14
13212,29,35,44,42,38,13,08
13211,10,31,17,34,02,27,47
13210,40,46,23,12,10,43,31
13209,03,32,37,02,34,14,05
13208,40,04,29,18,27,21,31
13207,47,30,18,09,12,08,03
13206,10,43,47,27,07,26,29
13205,38,12,02,21,26,47,45
13204,24,20,25,23,11,03,35
13203,07,39,11,25,26,09,35
13202,11,01,03,26,41,44,06
13201,19,23,42,17,15,44,09
13200,46,38,12,31,27,11,10
13199,11,27,31,49,08,32,46
13198,39,25,18,27,24,17,06
13197,16,12,26,42,40,38,11
13196,32,06,12,11,08,43,49
13195,37,32,47,27,42,43,05
13194,15,32,21,31,20,45,18
13193,39,32,22,07,40,28,36
13192,39,30,46,37,05,47,34
13191,08,47,18,17,04,33,02
13190,16,14,49,20,13,01,03
13189,01,17,44,05,03,24,36
13188,06,40,23,45,46,42,08
13187,30,09,20,25,43,42,05
13186,45,28,46,17,18,06,30
13185,49,15,46,30,04,27,17
13184,33,05,03,10,25,47,07
13183,47,09,31,05,41,32,46
13182,23,38,19,17,35,48,21
13181,48,41,25,28,43,24,05
13180,23,47,33,06,17,14,27
13179,21,24,47,25,22,28,29
13178,38,07,21,29,28,44,15
13177,40,49,44,36,26,24,07
13176,11,28,32,43,01,27,21
13175,04,16,27,33,08,40,47
13174,46,26,23,22,32,45,17
13173,13,16,14,20,42,45,38
13172,34,39,03,09,47,08,24
13171,41,19,40,14,35,26,32
13170,10,04,45,30,09,46,12
13169,19,23,47,30,40,34,42
13168,33,04,39,25,22,10,43
13167,21,40,32,41,09,29,20
13166,17,38,23,24,46,08,48
13165,01,15,12,39,44,05,48
13164,35,49,33,26,36,03,21
13163,43,34,11,47,49,15,29
